cheap               inexpensive cut rate bargain 
choice              option selection pick preference 
embark              ship board set sail sail begin 
gloomy              dismal dreary morbid overcast 
mourn               lament sorrow grieve bewail bemoan 
bustle              stir rustle fluster flurry ado 
exact               require claim demand extort 
minute              tiny precise exact meticulous 
epic                heroic majestic elevated 
tear                rip lacerate tatter shred split 
leave               abandon surrender quit forsake 
settle              agree upon resolve conclude 
team                crew side group pair 
unaware             unwary oblivious ignorant 
prevent             preclude hinder stop forestall 
spiritual           immaterial fleshless celestial 
occurrence          event incident affair episode 
somber              gloomy dark overcast dull sad 
prediction          warning prophecy prognosis forecast 
sign                omen portent indication token 
erotic              sexual sensual carnal obscene 
educate             teach train instruct enlighten 
jeopardy            danger risk peril hazard threat 
melt                dissolve soften thaw fuse vanish 
current             common prevalent in vogue 
badge               emblem sign indication 
jury                trial panel board of judges 
funeral             burial entombment 
understanding       intelligence comprehension sympathy 
snack               repast refreshment collation 
address             direct court woo accost greet 
alone               apart solitary single 
along               lengthwise onward together 
enroll              list record enter register 
redemption          ransom salvation reparation 
brilliant           resplendant radiant luminous clever 
ineffective         useless vain unavailing impotent 
reclaim             redeem restore reform recover 
concealed           disappearance incognito lurk secret 
love                fondness liking desire admiration 
prefer              select fancy choose promote advance 
logical             rational reasonable sane 
abash               humiliate humble shame embarrass 
loquacity           talkativeness fluency gift of gab 
fake                counterfeit impostor make-believe 
abase               humble demean degrade shame 
working             agency operative toiling laboring 
wicker              twig shoot rod willow 
dangle              hang suspend swing 
wicket              gate door window hoop arch 
opposed             averse contrary antagonistic 
scope               extent range sweep compass field 
wicked              evil bad criminal cruel sinful 
afford              manage bear supply furnish 
apparent            plain obvious visible evident 
refrain             abstain spare cease avoid 
ignorant            illiterate stupid simple innocent 
degrade             humiliate shame debase demean 
behalf              interest benefit advantage 
pretend             sham feign counterfeit lie 
abortion            miscarriage failure premature 
strain              stretch make taut strive exert 
harmonious          compatible consistent similar like 
following           after behind sequence next 
detached            separate independent aloof 
gunfire             gunplay shooting burst volley salvo 
awesome             impressive solemn terrible moving 
offense             insult affront aggression attack 
winter              wintertime cold hibernation 
savor               flavor smack tang enjoy relish 
writhe              wriggle squirm twist contort 
optimal             optimum prime best 
cavil               carp find fault take exception 
spot                place locality blotch smear blemish 
laxative            physic cathartic purgative enema 
misshapen           deformed malformed distorted 
date                day time moment age era epoch 
such                like similar of the same kind 
suck                draw extract absorb 
data                facts evidence information 
stress              pressure strain emphasis 
natural             character innate native unaffected 
conscious           sensible cognizant percipient 
yielding            pliant supple flexible fertile rich 
truck               vehicle van wagon dolly lorry 
truce               armistice peace respite delay 
damage              abuse disable hurt harm injure 
course              bearing itinerary path procedure 
yearn               pine long hanker grieve mourn 
tendency            aptness aptitude tend conduce lean 
splurge             extravagance waste indulge oneself 
derive              get obtain deduce originate arise 
overhaul            examine check inspect repair 
solace              comfort consolation relief 
nymph               dryad doxy party girl 
attraction          affinity allure magnet temptation 
suspicion           mistrust doubt misgiving 
stroll              ramble saunter promenade walk 
limbo               nowhere borderland oblivion 
bashful             shy diffident timid modest 
nation              country state realm republic 
tumid               swollen enlarged bulging pompous 
quarter             one-forth district region 
square              tetragon quadrilateral rectangle 
retrieve            recover regain reclaim repair 
beloved             dear pet precious sweethart 
sponsor             patron backer surety advertiser 
giddy               frivolous irresponsible dizzy 
container           bag can utensil holder chest 
abide               dwell reside live stay tolerate 
boundless           unlimited vast immense great 
investigation       analysis espionage inquiry search 
hibernate           become dormant inactivity 
siege               investment besiegement blockade 
envelop             cover wrap surround enclose 
quite               entirely wholly actually really 
disrespect          disesteem disregard contempt 
complicated         complex intricate difficult 
besides             more otherwise furthermore 
remainder           residue remains remnant vestige 
training            discipline practice tuition 
undisguised         true genuine obvious frank open 
wrong               injustice oppression corruption 
initiate            admit introduce start 
quibble             evasion cavil argue criticize 
neglect             carelessness omission oversight 
puny                small underdeveloped undersized 
emotion             feeling sentiment passion sensation 
intuition           insight instinct perceptivity 
symmetry            proportion balance uniformity 
spoken              oral vocal verbal 
clause              article paragraph section provision 
reprisal            retaliation revenge requital 
one                 individual sole only single 
submit              comply refer relent stoop suggest 
vote                poll ballot choice option election 
chubby              plump stout obese overweight 
open                ajar uncover undisguised unlock 
city                town municipality capital metropolis 
wrath               anger ire fury rage 
convent             cloister nunnery temple 
bite                morsel scrap nip snap snip sting 
indicate            denote designate specify 
shiver              quiver shake vibrate chill 
draft               sketch outline breeze air current 
dissipate           scatter dispel diffuse waste 
convene             assemble gather collect congregate 
cite                commend mention quote summon 
blazon              proclaim advertise decorate 
shawl               cape wrap stole tuckler 
snatch              grab seize grasp clutch jerk 
ridiculous          absurd preposterous laughable 
antic               caper escapade prank gambol 
impractical         unwise imprudent illogical unsound 
rival               competitor contender antagonist 
distill             extract express concentrate drip 
future              time to come eventuality tomorrow 
glossy              sleek slick smooth shining lustrous 
cavalier            horseman knight escort 
janitor             caretaker superintendent custodian 
prospect            view outlook scene sight promise 
illness             sickness disease 
sumptuous           lavish luxurious splendid 
sag                 droop slump warp curve slouch 
argument            persuasion thesis debate discussion 
alley               passage lane walk 
sad                 sorrowful downcast dejected unhappy 
say                 speak tell declare state affirm 
uninterrupted       endless unceasing continuous 
erudition           learning lore education culture 
perplex             puzzle bewilder confuse mystify 
fashionable         dressy style vogue etiquette 
aside               apart aloof away distant 
zoo                 park garden menagerie vivarium 
note                letter acknowledgment reminder 
take                capture pirate plagiarize catch 
destroy             waste ruin desolate 
coincide            agree concur match harmonious 
tally               count score check record tag 
buffer              fender bumper polish safety 
compress            reduce digest abridge consolidate 
lawn                green greenyard greensward 
average             normal norm mean standard 
drive               propel impel urge forward pursue 
unabated            tireless relentless ceaseless 
wind                draught draft whiff blow drift 
salt                saline season pickle brine 
oridinance          law regulation order decree rule 
surplus             excess glut profit oversupply 
infuriate           enrage anger madden incite provoke 
mince               chop dice moderate 
merit               reward due worth virtue 
bright              brilliant shining glistening 
scarce              rare uncommon deficient 
slow                inactive leisureliness crawl lag 
slop                spillage muck slush refuse 
transact            negotiate deal conduct execute 
cloak               cape wrap mantle shield disguise 
robe                cloak mantle gown vestment 
dispute             contradict controvert doubt contest 
assistant           aide auxiliary prop second 
infallible          reliable dependable trustworthy 
outlet              drain mouth nozzle break crack 
submerge            drown sink plunge dive immerse 
transpire           pass through exhale come to light 
yammer              complain wail shine whimper yearn 
prime               original first initial primitive 
assimilate          digest absorb incorporate merge 
borrow              take appropriate make use of adopt 
uncover             open disclose bare expose 
where               in what place whither place 
vision              sight optics look glance view 
temperance          moderation tolerance restraint 
mope                brood fret sulk pout 
forsake             desert abandon renounce quit 
vertical            plumb upright perpendicular erect 
aberration          deviation variation irregularity 
screen              partition curtain shield mask 
dome                vault cupola covering 
adept               ace clever master proficient 
jovial              genial cordial gay merry jolly 
spare               save refrain abstain exempt 
spark               flash inspiration 
undermine           excavate mine sap subvert weaken 
quack               charlatan falsehood doctor 
oust                depose evict remove dismiss 
residence           abode home presence habitation 
deduction           subtraction removal excision rebate 
expression          grimace phrase speech word 
allowance           stipend admission sanction 
twin                double twofold fraternal identical 
comeback            recur triumph winning retort 
boat                ship vessel craft sail 
testimonial         certificate reference voucher 
stretch             extend lengthen spread expand 
vacation            holiday rest time off recess leave 
concede             consent yield give in allow 
breath              respiration inhalation breeze life 
almighty            all powerful omnipotent 
prototype           model sample standard pattern 
reflex              reaction instinct repercussion 
enable              empower invest endow authorize 
gist                meaning essence significance point 
unsafe              insecure precarious dangerous 
thousand            grand 1000 fifty score 
surpassing          above very excelling dominant 
observe             see comply with respect acknowledge 
former              late other past previous 
queasy              nauseous squeamish uneasy timid 
shanty              cabin hut shack hovel cottage 
straighten          adjust align order compose 
dressy              stylish fashionable smart showy 
brow                forehead summit crest 
canon               decree code law principle criterion 
technology          knowledge information craft science 
fame                repute renown prestige honor 
yearbook            annual almanac journal diary 
vandalism           pillage plundering defacement 
nuzzle              nose muzzle burrow snuff 
sickness            disease illness malady ailment 
defy                challenge dare withstand resist 
disown              disinherit disclaim repudiate deny 
undefined           indefinite limitless boundless 
vacant              empty open free unoccupied 
clobber             pummel punish defeat 
summer              zenith acme high point summer time 
manifold            multiple diverse copied repeated 
being               life existence person creature 
rest                remainder remains balance residue 
disperse            distribute scatter strew disband 
inaudible           unhearable faint muffled 
underline           accent emphasize underscore urge 
instrument          device tool utensil means apparatus 
overthrow           overcome defeat upset abolish 
joyful              glad jubilant cheery 
dart                hurl cast throw dartle 
dark                black gloom murk dusk shadow umbra 
retract             recall recant revoke withdraw 
snarl               growl gnarl grumble 
traffic             trade barter dealings transportation 
pop                 bang shot burst explosion 
vacuum              void vacancy space nothingness 
world               creation nature earth cosmos 
snare               trap pitfall ambush deception 
vague               unclear blurred shapeless undefined 
dare                face defy challenge brave 
clan                family tribe association caste 
stranger            newcomer foreigner alien outsider 
expunge             erase efface deduct 
clay                earth potter's clay mud loam 
claw                talon nail hook pincer nipper 
stationary          quiescent sedentary fixed permanent 
kennel              doghouse stall hovel hut hutch 
clap                applaud acclaim strike slap bang 
obstruct            block stop impede choke retard 
satisfactory        acceptable enough adequate 
conditional         contingent tentative provisional 
divine              godlike superhuman celestial 
cavity              hole excavation hollow pit opening 
noon                noontime midday noonday lunchtime 
nook                retreat corner cover niche recess 
exit                departure withdrawal egress 
situate             place locate set station put 
refer               submit commit send direct 
vacillation         fluctuation hesitation uncertainty 
biased              onesided unjust prejudiced 
squabble            quarrel bicker altercate 
contingent          possible provisional conditional 
power               potence might force energy vigor 
intimate            close friendly familiar private 
ration              apportion allocate allot limit 
poise               balance dignity composure bearing 
stone               gem jewel mineral pebble rock 
ace                 expert adept skill master 
industry            labor work occupation trade 
favorite            darling pet idol hero choice 
slender             slim thin skinny meager weak 
side                direction sector quarter flank 
tumor               swelling growth cancer 
act                 behave action deed doing 
luck                chance good fortune destiny 
interruption        break hindrance hiatus gap delay 
antidote            antitoxin remedy 
lively              cheerful upbeat vivacious winsome 
pivot               axis hinge joint 
burglar             housebreaker stealing 
gleam               light beam flash glimmer 
glean               gather harvest deduce cull winnow 
futile              ineffectual vain idle useless 
series              sequence set succession chain 
mollify             placate pacify soothe appease calm 
bubble              blob fizzle simmer foam 
complete            accomplish entire finish full total 
verbatim            literal unchanged word for word 
fastidious          dainty proper meticulous careful 
pasteurize          sterilize disinfect 
unreliable          untrustworthy unstable unsure 
with                by by means of alongside beside 
amplify             enlarge swell magnify 
pull                power sway jerk wrench 
rush                hurry scurry dash surge expedite 
rage                fury frenzy wrath violence 
attenuate           weaken thin out rarefy 
ruse                artifice device gambit trick 
impute              ascribe attribute accusation 
dirty               foul nasty obscene soiled filthy 
agree               yield consent coincide 
rust                corrode oxidize deteriorate 
gone                absent missing removed departed 
fright              dread terror panic alarm fear 
certain             some specified 
stealing            burglar heist piracy embezzlement 
tranquil            calm quiet undisturbed serene 
jargon              lingo shoptalk gibberish argon 
tremble             agitation quaver quiver shudder 
cream               ointment pick finest best 
novice              beginner student amateur 
abolish             annul cancel suppress exterminate 
tight               close compact snug scarce short of 
unparalleled        unequaled unmatched inimitable 
whip                lash scourge beat flog thrash 
congress            assembly legislature parliament 
annex               add attach affix 
slant               slope inclination tilt leaning 
midget              dwarf pygmy shrimp 
snitch              swipe filch inform 
infirmity           fault feebleness weakness illness 
omnibus             collection compilation extensive 
mask                false face masquerade pretense 
mimic               mime imitate impersonate copy mock 
mast                pole timber upright column 
mass                bulk size lump wad accumulation 
sensibility         feeling perceptivity impression 
original            novel unique primary earliest 
consider            deliberate ponder brood contemplate 
beware              take care be on guard avoid 
weariness           tiredness exhaustion lethargy 
debris              rubbish rubble detritus wreckage 
upkeep              care maintenance expenses pension 
welfare             prosperity happiness success 
tail                appendage end tip extremity 
smile               grin simper smirk beam 
norm                normalacy model standard 
tatter              rag shred tear 
appointment         meeting interview engagement 
blockade            barrier obstruction embargo 
candid              frank straightfoward blunt 
diary               journal log chronicle memoirs 
existing            living present for the time being 
strand              thread string fiber rope 
cable               rope line cord cablegram 
heist               burglary stealing 
laud                praise extol eulogize approbation 
large               big huge colossal enormous immense 
sand                grit granules particle grain speck 
sane                logical lucid rational reasonable 
facsimile           duplicate reproduction replica 
harry               plunder pillage attack distress 
small               little tiny short wee dwarfish 
past                yesterday archaic bygone former 
pass                elapse enact crossing way track 
destitute           wanting lacking stripped bereft 
investment          grant loan backing finance interest 
forestall           anticipate prevent thwart 
imperceptible       indistinct unseen vague obscure 
succinct            terse concise brief meaty 
nurse               attendant nursemaid nanny 
perforate           bore drill pierce puncture riddle 
method              way manner gait form mode 
contrast            difference opposition dissimilarity 
full                filled satiated complete entire 
hash                mixture medley mix jumble botch 
sentient            perceptive sensitive feeling alive 
indecision          irresolution hesitation uncertainty 
legend              tradition tale saga myth 
compliance          consent obedience observance 
experience          have know meet encounter undergo 
periodic            recurrent cyclic epochal 
pick                best cream elite choice prime 
cessation           disuse inactivity pause stop rest 
via                 through along on 
depart              go remove retire quit leave 
vie                 rival emulate contend strive 
vim                 zest energy vigor 
follower            disciple shadow lackey pupil 
coercion            force pressure persuasion 
select              choose pick prefer elect opt 
casket              chest canister container coffin 
enliven             exhilarate animate inspirit quicken 
maltreat            abuse ill-treat misuse 
implore             beg beseech entreat plead 
fragrance           bouquet perfume aroma smell 
ballad              song chantey 
more                additional in addition added besides 
teem                swarm abound multiply pullulate 
company             fellowship association corporation 
nomad               wanderer gypsy rover 
doom                convict fate lot destination 
cunning             artful astute shrewd sly subtle 
fleece              bleed defraud shear wool 
fatal               deadly lethal mortal fateful 
apportion           budget dispense distribute ration 
science             knowledge skill efficiency 
chisel              trim pare sculpt carve 
mall                promenade avenue parkway 
kaput               ruined done for destroyed failure 
male                man sir master chap husband mister 
beautiful           fair lovely pretty attractive 
prompt              incite induce motivate actuate 
taunt               ridicule scoff jeer twit provoke 
gallop              run canter 
lout                bumpkin clod oaf boor 
autumn              fall harvest time 
unbiased            impartial unprejudiced fair just 
sense               meaning import feeling judgment 
scar                blemish flaw pock crust deface 
dress               clothe attire array scold reprove 
condemn             blame convict sentence doom 
information         knowledge data enlightenment 
imminent            impending close at hand near 
enlarge             increase extend widen broaden 
cling               stick hold cleave adhere grasp 
creature            animal beast creation being thing 
sprinkle            scatter spread sow spray wet 
sympathize          feel for sorrow condole feel sorry 
unsound             unhealthy diseased sickly deranged 
plane               level stratum surface 
waver               vacillate fluctuate hesitate sway 
ethics              morals morality rules of conduct 
authentic           genuine real trustworthy 
flutter             quiver wave whirl flap ripple wave 
refuse              deny decline reject resist 
register            record roll list enroll mark 
pucker              wrinkle crease ruffle contract 
wrench              twist wring yank pull extort 
fundamental         elementary radical basic underlying 
trellis             lattice network grid screen grill 
pester              molest nag bother annoy harrass 
pant                gasp puff blow yearn 
distortion          twist crookedness ugliness deformity 
attitude            stand pose posture position 
pang                pain twinge shoot ache 
brim                edge rim brink 
turbine             rotator propeller 
zippy               agile active brisk nimple spry 
nifty               smart stylish fashionable 
sauce               dressing dip gravy compote flavor 
ally                friend confederate supporter 
wry                 crooked twisted askew distorted 
colleague           associate partner co-worker 
propose             propound advance present suggest 
consign             deliver commit assign delegate 
imperil             endanger jeopardize risk 
misuse              abuse perversion ill-use misapply 
speculate           ponder contemplate meditate theorize 
likeness            portrait effigy counterpart 
nugget              lump hump slug 
always               invariably continually 
found               establish institute originate cast 
lantern             lamp searchlight torch 
reduce              diminish lessen curtail lower 
